index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9967,0.9959,0.9817,0.9961,0.9939,0.9801,0.9918,0.9929,0.9721,0.9948,0.9918,0.9808,0.9932,0.9924,0.9733,0.9942,0.9927,0.972,0.9955,0.9944,0.9774,0.9957,0.9934,0.9793,0.9954,0.9947,0.9802,0.9888,0.9903,0.9634
mae,0.0823,0.0937,0.1206,0.0941,0.109,0.1267,0.1298,0.1272,0.1703,0.1071,0.1281,0.1505,0.1207,0.1248,0.1617,0.1152,0.1232,0.1665,0.0977,0.1071,0.1411,0.1015,0.1153,0.1497,0.0943,0.1039,0.1419,0.156,0.1439,0.2103
rmse,0.1139,0.1234,0.2233,0.1226,0.1496,0.2328,0.1789,0.1616,0.2755,0.1427,0.174,0.2286,0.1624,0.1678,0.2695,0.1495,0.1636,0.2763,0.1322,0.1436,0.2479,0.1285,0.1564,0.2376,0.1336,0.1397,0.2323,0.2087,0.1889,0.3158
