index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
accuracy,0.9325,0.854,0.8424,0.9747,0.8579,0.8229,0.9715,0.8527,0.8203,0.9536,0.8527,0.8151,0.9048,0.854,0.8125,0.9115,0.8631,0.806,0.9101,0.8592,0.8138,0.8956,0.8462,0.8099,0.9617,0.8566,0.8229,0.8431,0.8488,0.7995
sensitivity,0.9375,0.8468,0.8856,0.9737,0.8491,0.8491,0.9774,0.8604,0.8662,0.9566,0.8468,0.8491,0.9169,0.8446,0.8467,0.9056,0.8423,0.8273,0.9137,0.8491,0.8491,0.9021,0.8401,0.8321,0.958,0.8446,0.8443,0.8512,0.8401,0.8273
specificity,0.9262,0.8638,0.7927,0.9761,0.87,0.7927,0.9638,0.8421,0.7675,0.9497,0.8607,0.7759,0.8893,0.8669,0.7731,0.9191,0.8916,0.7815,0.9053,0.8731,0.7731,0.8871,0.8545,0.7843,0.9665,0.8731,0.7983,0.8327,0.8607,0.7675
f1-score,0.9399,0.8704,0.8575,0.9775,0.8737,0.8369,0.9747,0.8712,0.8376,0.9587,0.8694,0.831,0.9156,0.8701,0.8286,0.9201,0.8769,0.8203,0.9196,0.8747,0.83,0.9067,0.8634,0.8241,0.9657,0.8721,0.8361,0.8593,0.8654,0.8153
precision,0.9424,0.8952,0.8311,0.9813,0.8998,0.8251,0.9721,0.8822,0.8109,0.9607,0.8931,0.8135,0.9143,0.8971,0.8112,0.9351,0.9144,0.8134,0.9255,0.9019,0.8116,0.9114,0.8881,0.8162,0.9735,0.9014,0.8282,0.8675,0.8923,0.8038
recall,0.9375,0.8468,0.8856,0.9737,0.8491,0.8491,0.9774,0.8604,0.8662,0.9566,0.8468,0.8491,0.9169,0.8446,0.8467,0.9056,0.8423,0.8273,0.9137,0.8491,0.8491,0.9021,0.8401,0.8321,0.958,0.8446,0.8443,0.8512,0.8401,0.8273
error rate,0.0675,0.146,0.1576,0.0253,0.1421,0.1771,0.0285,0.1473,0.1797,0.0464,0.1473,0.1849,0.0952,0.146,0.1875,0.0885,0.1369,0.194,0.0899,0.1408,0.1862,0.1044,0.1538,0.1901,0.0383,0.1434,0.1771,0.1569,0.1512,0.2005
mcc,0.863,0.7049,0.6835,0.9488,0.7131,0.6436,0.942,0.6995,0.6387,0.9057,0.702,0.6278,0.8066,0.7054,0.6226,0.8215,0.7264,0.6097,0.8176,0.716,0.6252,0.7881,0.689,0.6175,0.9225,0.7112,0.6437,0.6822,0.6948,0.5964
