index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
accuracy,0.868,0.7862,0.7705,0.8604,0.7974,0.7644,0.9046,0.7923,0.7765,0.8548,0.7842,0.7573,0.9067,0.7893,0.7765,0.8738,0.7974,0.7715,0.8482,0.772,0.7533,0.8815,0.7994,0.7543,0.8825,0.7953,0.7725,0.8775,0.7862,0.7735
sensitivity,0.919,0.834,0.835,0.8703,0.804,0.7873,0.9276,0.826,0.8012,0.8711,0.804,0.7833,0.9234,0.796,0.8052,0.8931,0.818,0.7873,0.9009,0.852,0.8151,0.8818,0.8,0.7535,0.8958,0.824,0.7893,0.8887,0.806,0.7893
specificity,0.8133,0.7372,0.7037,0.8497,0.7906,0.7407,0.8799,0.7577,0.751,0.8374,0.7639,0.7305,0.8888,0.7823,0.7469,0.8531,0.7762,0.7551,0.7918,0.6899,0.6893,0.8812,0.7988,0.7551,0.8683,0.7659,0.7551,0.8655,0.7659,0.7572
f1-score,0.8781,0.7981,0.7873,0.8658,0.8008,0.7727,0.9095,0.8012,0.7848,0.8613,0.7906,0.7665,0.911,0.7928,0.7856,0.8798,0.8035,0.778,0.86,0.7911,0.7707,0.8851,0.8016,0.7572,0.8875,0.8031,0.7792,0.8824,0.7925,0.78
precision,0.8406,0.7651,0.7447,0.8613,0.7976,0.7586,0.8922,0.7778,0.7691,0.8517,0.7776,0.7505,0.899,0.7897,0.767,0.867,0.7896,0.7689,0.8226,0.7383,0.7308,0.8883,0.8032,0.761,0.8794,0.7833,0.7694,0.8762,0.7795,0.7709
recall,0.919,0.834,0.835,0.8703,0.804,0.7873,0.9276,0.826,0.8012,0.8711,0.804,0.7833,0.9234,0.796,0.8052,0.8931,0.818,0.7873,0.9009,0.852,0.8151,0.8818,0.8,0.7535,0.8958,0.824,0.7893,0.8887,0.806,0.7893
error rate,0.132,0.2138,0.2295,0.1396,0.2026,0.2356,0.0954,0.2077,0.2235,0.1452,0.2158,0.2427,0.0933,0.2107,0.2235,0.1262,0.2026,0.2285,0.1518,0.228,0.2467,0.1185,0.2006,0.2457,0.1175,0.2047,0.2275,0.1225,0.2138,0.2265
mcc,0.7382,0.5743,0.544,0.7204,0.5946,0.5288,0.8093,0.5853,0.5531,0.7092,0.5685,0.5147,0.8133,0.5784,0.5533,0.7474,0.5949,0.5428,0.6985,0.5498,0.509,0.7628,0.5987,0.5086,0.7648,0.5911,0.5448,0.7546,0.5725,0.5469
