index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9636,0.9403,0.9146,0.9539,0.9441,0.91,0.9658,0.9383,0.9286,0.9527,0.9319,0.8915,0.9682,0.9342,0.8998,0.9537,0.9376,0.8991,0.9434,0.9341,0.887,0.9722,0.9518,0.917,0.9508,0.9299,0.8964,0.9719,0.9459,0.9223
mae,0.3019,0.4245,0.4582,0.3335,0.4034,0.4392,0.2936,0.4404,0.4219,0.3346,0.4399,0.4736,0.272,0.4443,0.4695,0.3404,0.4386,0.4662,0.3782,0.4429,0.4778,0.2591,0.3769,0.4335,0.3502,0.478,0.5052,0.2626,0.4175,0.4361
rmse,0.3966,0.5462,0.6066,0.4464,0.5287,0.6225,0.3848,0.5556,0.5544,0.4523,0.5836,0.6836,0.3712,0.5737,0.657,0.4477,0.5585,0.6591,0.4946,0.574,0.6975,0.3468,0.4909,0.5979,0.4613,0.5919,0.6679,0.3489,0.5202,0.5786
