index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9986,0.999,0.9921,0.9988,0.999,0.9915,0.9994,0.9994,0.9926,0.9993,0.9996,0.9903,0.9982,0.9987,0.992,0.9991,0.9995,0.9896,0.9987,0.999,0.993,0.9982,0.9983,0.9918,0.998,0.9988,0.9912,0.9986,0.9991,0.9882
mae,0.0559,0.0569,0.0636,0.0437,0.0469,0.0569,0.0284,0.0282,0.0407,0.0382,0.0394,0.05,0.0486,0.0512,0.0633,0.031,0.0313,0.0449,0.0464,0.0472,0.0588,0.0464,0.053,0.0569,0.0699,0.0648,0.0802,0.0492,0.0463,0.0645
rmse,0.0675,0.0669,0.1641,0.0638,0.0669,0.1708,0.0454,0.0505,0.1592,0.0483,0.0447,0.1827,0.0775,0.0783,0.165,0.0541,0.0501,0.1884,0.0672,0.0684,0.1543,0.0778,0.0891,0.1675,0.0828,0.0734,0.1739,0.0675,0.0641,0.2009
