index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
accuracy,0.9422,0.9459,0.8824,0.9462,0.9405,0.8824,0.9132,0.9135,0.8824,0.9657,0.9243,0.8877,0.9247,0.9351,0.8663,0.9267,0.9189,0.877,0.9556,0.9189,0.8877,0.9482,0.9243,0.8663,0.9516,0.9243,0.8717,0.9314,0.9297,0.8877
sensitivity,0.9519,0.9559,0.8824,0.9554,0.9412,0.8824,0.9493,0.9485,0.8954,0.9685,0.9485,0.8954,0.9423,0.9485,0.8693,0.9406,0.9412,0.8824,0.9598,0.9412,0.8889,0.9633,0.9632,0.8693,0.9589,0.9412,0.8758,0.9441,0.9485,0.8824
specificity,0.9096,0.9184,0.8824,0.9155,0.9388,0.8824,0.793,0.8163,0.8235,0.9563,0.8571,0.8529,0.8659,0.898,0.8529,0.8805,0.8571,0.8529,0.9417,0.8571,0.8824,0.898,0.8163,0.8529,0.9271,0.8776,0.8529,0.8892,0.8776,0.9118
f1-score,0.962,0.963,0.9247,0.9647,0.9588,0.9247,0.9439,0.9416,0.9257,0.9775,0.9485,0.9288,0.9506,0.9556,0.9141,0.9518,0.9446,0.9215,0.9708,0.9446,0.9283,0.9662,0.9493,0.9141,0.9682,0.9481,0.9178,0.9549,0.952,0.9278
precision,0.9723,0.9701,0.9712,0.9742,0.9771,0.9712,0.9386,0.9348,0.958,0.9866,0.9485,0.9648,0.9591,0.9627,0.9638,0.9633,0.9481,0.9643,0.9821,0.9481,0.9714,0.9692,0.9357,0.9638,0.9777,0.9552,0.964,0.966,0.9556,0.9783
recall,0.9519,0.9559,0.8824,0.9554,0.9412,0.8824,0.9493,0.9485,0.8954,0.9685,0.9485,0.8954,0.9423,0.9485,0.8693,0.9406,0.9412,0.8824,0.9598,0.9412,0.8889,0.9633,0.9632,0.8693,0.9589,0.9412,0.8758,0.9441,0.9485,0.8824
error rate,0.0578,0.0541,0.1176,0.0538,0.0595,0.1176,0.0868,0.0865,0.1176,0.0343,0.0757,0.1123,0.0753,0.0649,0.1337,0.0733,0.0811,0.123,0.0444,0.0811,0.1123,0.0518,0.0757,0.1337,0.0484,0.0757,0.1283,0.0686,0.0703,0.1123
mcc,0.8418,0.8633,0.6752,0.8525,0.8541,0.6752,0.7525,0.7753,0.6537,0.9061,0.8057,0.6752,0.7926,0.8359,0.6335,0.8,0.7932,0.6538,0.8792,0.7932,0.6857,0.8552,0.8018,0.6335,0.8673,0.8085,0.6435,0.8127,0.8208,0.6965
