index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9875,0.9801,0.9815,0.983,0.9692,0.9706,0.9917,0.9864,0.9886,0.9918,0.987,0.9896,0.9889,0.9799,0.9844,0.9909,0.9825,0.987,0.988,0.9791,0.9814,0.9927,0.9874,0.9912,0.9855,0.983,0.9825,0.9902,0.9817,0.9872
mae,11.8207,15.4603,15.4882,14.0072,19.4963,20.2917,9.3458,12.7573,12.3025,9.5525,12.1761,11.8005,11.8999,15.2791,14.7501,10.2302,13.8318,13.3475,12.1031,15.9453,15.2698,9.0688,11.8707,10.8521,13.0634,13.6742,15.5494,11.2971,14.2017,13.3355
rmse,16.5567,21.5044,20.9356,19.2549,26.7721,26.4174,13.4643,17.8128,16.4769,13.3798,17.3808,15.702,15.5877,21.6603,19.2166,14.1147,20.1698,17.5656,16.2189,22.0657,20.9828,12.6186,17.1605,14.4617,17.8101,19.8982,20.3843,14.6362,20.6416,17.4276
