index,train_1,val_1,test_1,train_2,val_2,test_2,train_3,val_3,test_3,train_4,val_4,test_4,train_5,val_5,test_5,train_6,val_6,test_6,train_7,val_7,test_7,train_8,val_8,test_8,train_9,val_9,test_9,train_10,val_10,test_10
r2,0.9992,0.9994,0.9991,0.9989,0.9991,0.9992,0.999,0.9992,0.999,0.9991,0.9992,0.9991,0.9996,0.9996,0.9994,0.9989,0.999,0.9991,0.9989,0.999,0.9988,0.9996,0.9995,0.9996,0.9992,0.9993,0.9992,0.9991,0.9994,0.9993
mae,1.0967,1.0826,1.2216,1.5012,1.5142,1.449,1.3728,1.4203,1.4736,1.2725,1.2448,1.2769,0.8433,0.8389,0.9814,1.4716,1.5383,1.4174,1.554,1.5202,1.7193,0.7422,0.8447,0.8539,1.1184,1.1823,1.1829,1.2748,1.1519,1.2421
rmse,1.6413,1.5274,1.9009,1.8541,1.8903,1.7919,1.8371,1.7802,1.9763,1.7224,1.7615,1.836,1.0946,1.2422,1.4528,1.9025,1.9673,1.8902,1.8578,1.9358,2.1303,1.0734,1.3572,1.2112,1.5851,1.6816,1.7262,1.7463,1.5185,1.6343
